,track.uri,track.name,acousticness,danceability,duration_ms,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,key,time_signature
142,3MRX02BbSV4zUYt7WAPNos,No One's Gonna Change You,0.0172,0.647,257693.0,0.739,0.00385,0.102,-7.859,0.0335,132.969,0.6,11.0,4.0
143,1OjTdOsxglqW2nQY0J4OCd,Alone - Johnny Budz Radio Edit,0.0171,0.539,216347.0,0.933,0.0,0.329,-4.904,0.0395,144.972,0.465,1.0,4.0
144,5YJtMNWKe55yr49cyJgxva,Everytime We Touch,0.00281,0.633,197124.0,0.976,1.29e-05,0.382,-5.362,0.0519,142.027,0.493,8.0,4.0
145,2pzdPikvnSUldU4zQm9tcS,Music Inside Out - Main Mix,0.0193,0.777,494737.0,0.742,0.108,0.103,-8.387,0.07,131.003,0.355,7.0,4.0
146,7861kBrZ5aw7o4NfggcyYW,It's Not Right But It's Okay,0.162,0.805,292400.0,0.802,0.000883,0.0698,-7.076,0.1,127.924,0.531,1.0,4.0
147,2HH2km5d2nGVfpBFrqGSXp,Coño - James Kennedy Remix,0.00955,0.807,134625.0,0.782,0.882,0.113,-4.91,0.0453,121.993,0.149,1.0,4.0
148,2LtjgykFxoF7Khi0TNVJfy,How Will I Know - Junior Vasquez Club Mix Radio Edit,0.0184,0.765,249800.0,0.853,0.00215,0.373,-7.071,0.0402,127.955,0.244,6.0,4.0
149,6VbiW6hb4jbfsUObjZeyZ0,Close My Eyes - Radio Edit,0.111,0.575,218680.0,0.971,0.201,0.311,-4.756,0.0437,139.989,0.53,0.0,4.0
150,6VZciflHXKBKMxPXnGEmag,No One's Gonna Change You,0.0185,0.66,255200.0,0.767,0.00101,0.12,-6.622,0.0339,132.984,0.594,11.0,4.0
151,0ceI4w0e2Syq1sNxCe6lLm,Listen to Your Heart - Hardbounze Single Edit,0.0538,0.655,212173.0,0.961,0.000135,0.0816,-4.245,0.0464,144.982,0.395,11.0,3.0
152,2hPOOLM9Oefyy43eAXR4Hf,Total Eclipse Of The Heart - Dance Mix,0.00463,0.575,232347.0,0.912,6.01e-05,0.352,-7.039,0.0285,135.988,0.591,0.0,4.0
