track.uri,acousticness,danceability,duration_ms,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,key,time_signature,club_compatible
1yACRKAwlXWhXXFUSkvzhD,0.00408,0.541,280240.0,0.77,0.0,0.117,-4.17,0.0354,96.013,0.215,5.0,4.0,no
2bKPabbnZUBRmdrP9o0qv1,0.00694,0.572,259707.0,0.984,8.27e-05,0.955,-5.086,0.103,126.003,0.3,7.0,4.0,no
49mWEy5MgtNujgT7xU3emT,0.379,0.505,263973.0,0.482,0.0,0.113,-7.372,0.0276,73.975,0.184,1.0,4.0,no
7fxyCUmSfW8Q7NRoAsDhXv,0.00947,0.788,299653.0,0.918,0.0134,0.0741,-7.58,0.0415,132.993,0.913,8.0,4.0,no
0HmCuN0Z3OX1Qrz43FLOPL,0.146,0.475,261787.0,0.452,1.36e-06,0.108,-4.134,0.027,133.959,0.276,6.0,4.0,no
0vvt4IZOMkRug195S4MUq0,0.166,0.511,234547.0,0.719,4.54e-06,0.34,-3.457,0.0265,147.852,0.289,4.0,4.0,no
1qlWPsawt6eo7L4wvzwRBv,0.31,0.362,249733.0,0.919,1.09e-06,0.976,-4.347,0.261,132.807,0.69,0.0,4.0,no
1tDrGCTjwLufyRJQSoPz15,0.389,0.533,282636.0,0.942,2.35e-06,0.975,-5.189,0.169,123.947,0.358,6.0,4.0,no
0dBW6ZsW8skfvoRfgeerBF,0.00265,0.624,230707.0,0.757,1.87e-06,0.189,-2.94,0.0296,121.07,0.658,7.0,4.0,no
24Dbwhjucsjzs2IsoQZN23,0.84,0.406,260920.0,0.313,6.26e-05,0.114,-8.643,0.0303,129.804,0.251,5.0,4.0,no
3J65J1VsOX9cbSSB4A4rxX,0.837,0.126,194173.0,0.533,0.00236,0.95,-5.944,0.0421,85.484,0.106,3.0,5.0,no
6KF9xd2hBLuexrmBX4vUWD,0.713,0.327,189147.0,0.488,0.0,0.837,-9.287,0.0322,104.46,0.363,6.0,4.0,no
42UCO0SSiVqOBaPrx4yJN6,0.0297,0.636,246893.0,0.827,2.33e-06,0.0714,-6.747,0.0297,103.98,0.561,8.0,4.0,no
0cGuJo2MUb5Hs0ZiGP2oCw,0.909,0.156,99931.0,0.666,0.682,0.94,-10.259,0.0508,78.781,0.155,6.0,3.0,no
6jNuvMNxeULjmPWFBsTErj,0.00282,0.671,232827.0,0.97,0.000424,0.0552,-3.618,0.033,132.96,0.969,8.0,4.0,no
3rBkfSNMSSVHHOdRvnhou2,0.0375,0.662,203907.0,0.747,0.000518,0.0586,-7.754,0.0296,111.665,0.492,5.0,4.0,no
0RdcBnAXyH2YZZvcBVu2k6,0.00471,0.548,281053.0,0.756,0.0,0.117,-4.175,0.036,96.038,0.224,5.0,4.0,no
5lR4YDKdhJUkGUYMrMRx43,0.446,0.841,183573.0,0.729,0.0,0.122,-6.311,0.0705,115.982,0.688,5.0,4.0,no
3DLXC4JwTGr7BS7tJ2NX5S,0.00107,0.506,254093.0,0.833,1.11e-05,0.171,-6.492,0.029,105.355,0.733,0.0,4.0,no
7zCs9oKjFa9KgvFr6qMlkT,0.847,0.377,228133.0,0.376,0.0,0.952,-10.241,0.0359,120.724,0.249,9.0,3.0,no
60U1rO0CxLGoXcQVSDiyGb,0.0342,0.673,282093.0,0.682,0.0,0.101,-8.402,0.0853,127.649,0.337,0.0,4.0,no
0rO9zy2xrUHQYszmtdprb1,0.0167,0.676,218920.0,0.988,0.0,0.0819,-3.91,0.0506,128.002,0.805,1.0,4.0,no
3rnI1UCyGJvUTVvT97VQr5,0.0571,0.604,200547.0,0.855,3.65e-06,0.343,-3.097,0.038,99.96,0.51,7.0,4.0,no
5zpqAIU4LMWv8qDaymJiAF,0.539,0.431,363400.0,0.671,0.000596,0.958,-7.272,0.077,81.036,0.303,11.0,4.0,no
5BSclXJTa9B0iURhUjZo50,0.0297,0.74,212893.0,0.783,0.000308,0.123,-5.367,0.0427,100.011,0.812,0.0,4.0,no
4WXzzCof26KJLTK5kK53dS,0.194,0.841,254307.0,0.544,2.48e-06,0.108,-7.347,0.0309,115.994,0.831,6.0,4.0,no
0fWiBdVFTGjTQHa5nAlwqi,0.365,0.778,176133.0,0.727,5.23e-06,0.0837,-7.973,0.27,94.98,0.764,9.0,4.0,no
6LkJ8ZK4scPJsaIGG5RfnH,0.0197,0.752,299427.0,0.61,0.000682,0.316,-6.769,0.0582,127.647,0.468,8.0,4.0,no
3cBUv0RIoEyAm2b7qimEY6,0.282,0.495,328573.0,0.772,0.0,0.119,-4.851,0.425,71.295,0.748,8.0,4.0,no
2Pn9LFE9XccWw4krKJKlxM,0.00612,0.614,213133.0,0.822,1.68e-05,0.962,-5.98,0.0395,127.997,0.433,8.0,4.0,no
35g0Ou50vC3AJdu9FspLi0,0.000268,0.658,332269.0,0.959,0.0217,0.181,-7.622,0.0724,140.002,0.688,6.0,4.0,no
0iHZ7ZjdtkN5ZDyaEMx8Sm,0.027,0.465,262600.0,0.858,4.13e-05,0.962,-9.841,0.201,179.635,0.476,11.0,4.0,no
3rXPIqmvwFaeoW21UmSbEV,0.832,0.24,180027.0,0.636,9.15e-06,0.856,-6.43,0.0445,134.385,0.466,7.0,4.0,no
58haa2vmqz7tCG7FFDrLWZ,0.00294,0.507,209573.0,0.934,9.43e-05,0.333,-2.995,0.0547,94.008,0.222,0.0,4.0,no
00c5V0lnDwnbdIutke1AsI,0.000342,0.543,332837.0,0.913,0.125,0.0364,-7.765,0.0409,142.018,0.607,8.0,4.0,no
6rkRLQEWSiTu3x8lFSFxEA,0.0376,0.812,207627.0,0.699,0.000158,0.069,-7.951,0.0798,114.968,0.94,8.0,4.0,no
3x9KEo8m6pjlXNVdCayfqI,0.0818,0.721,358293.0,0.832,0.542,0.1,-8.63,0.0341,124.743,0.868,6.0,4.0,no
1RXC3vO3LIICdaS5u7TaA1,0.105,0.592,178495.0,0.654,0.0,0.129,-10.401,0.319,152.344,0.328,1.0,4.0,no
3A9J1fkp9MZsa1dhUdefCZ,0.0715,0.749,284907.0,0.901,0.0678,0.085,-6.784,0.048,102.737,0.848,11.0,4.0,no
59dLtGBS26x7kc0rHbaPrq,0.386,0.688,268320.0,0.853,0.0,0.0862,-5.814,0.0493,103.993,0.743,10.0,4.0,no
6h6XStMXdy32p7ZQ7Bd9Ml,0.00104,0.622,195770.0,0.991,3.38e-05,0.292,-4.712,0.07,141.929,0.697,6.0,4.0,no
7EvU9pRoJ9Xs7anx0P7tEc,0.266,0.647,173899.0,0.872,0.0,0.419,-1.953,0.0524,105.798,0.684,7.0,4.0,no
